,speed,speed,speed,speed,occupancy,occupancy,occupancy,occupancy,S_vol,S_vol,S_vol,S_vol,S_speed,S_speed,S_speed,S_speed,L_vol,L_vol,L_vol,L_vol,L_speed,L_speed,L_speed,L_speed,T_vol,T_vol,T_vol,T_vol,T_speed,T_speed,T_speed,T_speed
lanes,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3,lane0,lane1,lane2,lane3
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:01,81.0,82.0,81.0,76.0,24.0,28.0,30.0,19.0,25.0,27.0,15.0,19.0,80.0,82.0,80.0,76.0,0.0,2.0,0.0,1.0,0.0,77.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:02,79.0,74.0,82.0,68.0,31.0,29.0,29.0,31.0,32.0,28.0,24.0,26.0,78.0,73.0,76.0,68.0,0.0,0.0,1.0,2.0,0.0,0.0,83.0,64.0,0.0,0.0,2.0,0.0,0.0,0.0,140.0,0.0
16:03,79.0,74.0,61.0,50.0,25.0,29.0,38.0,41.0,25.0,29.0,27.0,28.0,79.0,74.0,60.0,49.0,2.0,1.0,1.0,1.0,75.0,72.0,72.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:04,79.0,77.0,70.0,70.0,23.0,21.0,17.0,17.0,24.0,23.0,15.0,13.0,79.0,76.0,70.0,68.0,1.0,0.0,1.0,1.0,64.0,0.0,54.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:05,87.0,81.0,86.0,70.0,26.0,20.0,18.0,24.0,29.0,21.0,20.0,23.0,86.0,80.0,85.0,69.0,1.0,1.0,0.0,0.0,86.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:06,84.0,79.0,71.0,64.0,23.0,28.0,30.0,26.0,24.0,26.0,21.0,19.0,83.0,77.0,66.0,64.0,1.0,3.0,1.0,3.0,84.0,83.0,110.0,59.0,1.0,2.0,1.0,0.0,84.0,88.0,130.0,0.0
16:07,85.0,79.0,73.0,66.0,30.0,22.0,24.0,18.0,34.0,23.0,22.0,17.0,84.0,78.0,72.0,65.0,0.0,1.0,1.0,0.0,0.0,82.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:08,81.0,77.0,84.0,80.0,22.0,26.0,20.0,15.0,25.0,21.0,23.0,16.0,80.0,77.0,83.0,79.0,1.0,2.0,0.0,0.0,81.0,79.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,72.0,0.0,0.0
16:09,81.0,74.0,78.0,62.0,28.0,23.0,28.0,25.0,28.0,24.0,23.0,22.0,80.0,73.0,76.0,62.0,0.0,0.0,2.0,1.0,0.0,0.0,96.0,54.0,1.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0
16:10,73.0,66.0,68.0,58.0,34.0,39.0,38.0,28.0,30.0,33.0,27.0,23.0,71.0,66.0,66.0,57.0,3.0,4.0,2.0,0.0,84.0,65.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:11,90.0,84.0,88.0,71.0,18.0,21.0,20.0,17.0,21.0,23.0,18.0,17.0,90.0,81.0,82.0,70.0,1.0,0.0,2.0,0.0,70.0,0.0,107.0,0.0,0.0,1.0,1.0,0.0,0.0,140.0,140.0,0.0
