,31_travel_time,31_SMS,31_count,32_travel_time,32_SMS,32_count,41_travel_time,41_SMS,41_count,42_travel_time,42_SMS,42_count,5_travel_time,5_SMS,5_count
16:05,65.0,86.0,216.0,66.0,86.0,76.0,71.0,79.0,4.0,67.0,82.0,13.0,68.0,82.0,12.0
16:10,66.0,86.0,240.0,67.0,82.0,65.0,71.0,79.0,7.0,71.0,79.0,16.0,65.0,86.0,14.0
16:15,69.0,82.0,252.0,71.0,79.0,64.0,75.0,75.0,5.0,68.0,82.0,21.0,70.0,79.0,15.0
16:20,69.0,82.0,252.0,71.0,79.0,64.0,75.0,75.0,5.0,68.0,82.0,21.0,70.0,79.0,15.0
16:25,70.0,79.0,236.0,70.0,79.0,77.0,66.0,86.0,6.0,69.0,82.0,11.0,70.0,79.0,17.0
16:30,71.0,79.0,229.0,71.0,79.0,86.0,74.0,75.0,3.0,73.0,77.0,16.0,70.0,79.0,16.0
16:35,71.0,79.0,229.0,71.0,79.0,86.0,74.0,75.0,3.0,73.0,77.0,16.0,70.0,79.0,16.0
16:40,72.0,79.0,260.0,73.0,75.0,85.0,72.0,77.0,8.0,75.0,73.0,12.0,73.0,75.0,14.0
16:45,80.0,72.0,261.0,79.0,72.0,77.0,76.0,75.0,7.0,84.0,68.0,13.0,81.0,68.0,12.0
16:50,80.0,72.0,261.0,79.0,72.0,77.0,76.0,75.0,7.0,84.0,68.0,13.0,81.0,68.0,12.0
16:55,72.0,79.0,238.0,72.0,79.0,83.0,73.0,75.0,9.0,75.0,75.0,16.0,72.0,77.0,18.0
17:00,72.0,79.0,238.0,72.0,79.0,83.0,73.0,75.0,9.0,75.0,75.0,16.0,72.0,77.0,18.0
17:05,75.0,75.0,267.0,77.0,72.0,63.0,76.0,75.0,3.0,77.0,72.0,7.0,79.0,72.0,17.0
17:10,75.0,75.0,267.0,77.0,72.0,63.0,76.0,75.0,3.0,77.0,72.0,7.0,79.0,72.0,17.0
17:15,71.0,79.0,260.0,71.0,79.0,62.0,76.0,75.0,3.0,72.0,79.0,13.0,67.0,82.0,11.0
17:20,71.0,79.0,260.0,71.0,79.0,62.0,76.0,75.0,3.0,72.0,79.0,13.0,67.0,82.0,11.0
17:25,74.0,75.0,272.0,78.0,72.0,73.0,76.0,75.0,7.0,75.0,75.0,6.0,84.0,68.0,5.0
17:30,75.0,75.0,273.0,77.0,72.0,90.0,80.0,72.0,5.0,74.0,75.0,8.0,74.0,75.0,8.0
17:35,75.0,75.0,273.0,77.0,72.0,90.0,80.0,72.0,5.0,74.0,75.0,8.0,74.0,75.0,8.0
